summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
4,41-1012,First-Line Supervisors of Non-Retail Sales Workers,13560,13720,160,0.01179941,260,80,180,132810,118230,63710,167360,High school diploma or equivalent,Less than 5 years,None
3,41-2000,Retail Sales Workers,208600,216020,7420,0.03557047,12640,3710,8930,n/a,n/a,n/a,n/a, , , 
4,41-2011,Cashiers,76800,80120,3320,0.043229167,5790,1660,4130,21250,18850,17050,23360,Less than high school,None,Short-term on-the-job training
4,41-2012,Gaming Change Persons and Booth Cashiers,480,480,0,0,30,0,30,n/a,n/a,n/a,n/a,High school diploma or equivalent,None,Short-term on-the-job training
4,41-2021,Counter and Rental Clerks,5190,5320,130,0.02504817,210,60,150,30390,28280,18150,36500,Less than high school,None,Short-term on-the-job training
4,41-2022,Parts Salespersons,1580,1600,20,0.012658228,50,10,40,33660,30540,21300,39840,Less than high school,None,Moderate-term on-the-job training
4,41-2031,Retail Salespersons,124550,128500,3950,0.031714171,6560,1980,4580,27630,23100,17250,32810,Less than high school,None,Short-term on-the-job training
3,41-3000,"Sales Representatives, Services",104420,105660,1240,0.01187512,3520,920,2600,n/a,n/a,n/a,n/a, , , 
4,41-3011,Advertising Sales Agents,16150,16970,820,0.050773994,880,410,470,82000,69290,41080,102460,High school diploma or equivalent,None,Moderate-term on-the-job training
4,41-3021,Insurance Sales Agents,6790,6850,60,0.008836524,190,30,160,88570,67760,43980,110860,High school diploma or equivalent,None,Moderate-term on-the-job training
4,41-3031,"Securities, Commodities, and Financial Services Sales Agents",50840,50300,-540,-0.010621558,1210,0,1210,158780,149200,70360,">$187,200",Bachelor's degree,None,Moderate-term on-the-job training
4,41-3041,Travel Agents,3880,3810,-70,-0.018041237,60,0,60,38420,37460,25390,44930,High school diploma or equivalent,None,Moderate-term on-the-job training
4,41-3099,"Sales Representatives, Services, All Other",26760,27720,960,0.035874439,1190,480,710,82120,68700,36680,104850,High school diploma or equivalent,None,Short-term on-the-job training
3,41-4000,"Sales Representatives, Wholesale and Manufacturing",50660,51340,680,0.013422819,1320,340,980,n/a,n/a,n/a,n/a, , , 
4,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",5570,5680,110,0.019748654,160,50,110,96070,85450,55720,116240,Bachelor's degree,None,Moderate-term on-the-job training
4,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",45090,45660,570,0.012641384,1160,280,880,79810,65700,35470,101980,High school diploma or equivalent,None,Moderate-term on-the-job training
3,41-9000,Other Sales and Related Workers,30450,30800,350,0.011494253,650,230,420,n/a,n/a,n/a,n/a, , , 
4,41-9011,Demonstrators and Product Promoters,1530,1570,40,0.026143791,60,20,40,33650,30210,22390,39280,High school diploma or equivalent,None,Short-term on-the-job training
