state,city,pd,all_people_killed_by_police_2013-2017,black_people_killed_by_police_2013-2017,total,black,white,amer_indian,asian,hawaiian,asian/pacific_islander,other,two_or_more_races,hispanic,population,black-white_dissimilarity_index_2010,violent_crime,murder_and_nonnegligent_manslaughter,violent_crime_rate,murder_rate,total_police_homicide_rate,total_police_homicide_rate_for_black_people
California,San Diego,San Diego Police Department,23,1,"1,307,402","82,497","589,702","3,545","204,347","5,178",209525,"3,293","42,820","376,020","1,368,690",54.57,"5,214",32,3.8,2.3,3.9,2.7
California,San Francisco,San Francisco Police Department,16,3,"805,235","46,781","337,451","1,828","265,700","3,128",268828,"2,494","26,079","121,774","850,294",52.76,"6,761",45,8,5.3,4.4,14.3
California,San Jose,San Jose Police Department,15,1,"945,942","27,508","271,382","2,255","300,022","3,492",303514,"1,820","25,827","313,636","1,009,679",36.76,"3,242",32,3.2,3.2,3.5,8.1
California,Santa Ana,Santa Ana Police Department,13,1,"324,528","3,177","29,950",507,"33,618",826,34444,375,"2,147","253,928","336,462",24.48,"1,260",18,3.7,5.3,8.9,69.9
Arizona,Scottsdale,Scottsdale Police Department,6,1,"217,385","3,484","182,011","1,462","7,128",189,7317,276,"3,610","19,225","225,523",23.46,337,4,1.5,1.8,6.1,63.8
Washington,Seattle,Seattle Police Department,18,4,"608,660","47,113","403,578","3,881","83,537","2,246",85783,"1,464","26,512","40,329","663,410",51.68,"4,001",26,6,3.9,6.6,18.9
Washington,Spokane,Spokane Police Department,9,1,"208,916","4,643","175,482","3,663","5,266","1,152",6418,281,"7,962","10,467","211,025",21.73,"1,156",10,5.5,4.7,9.6,47.9
Missouri,St. Louis,St. Louis Metropolitan Police Department,28,23,"319,294","156,389","134,702",684,"9,233",62,9295,478,"6,616","11,130","318,574",65.28,"5,348",159,16.8,49.9,19.5,32.7
Minnesota,St. Paul,St. Paul Police Department,11,4,"285,068","43,620","159,437","2,316","42,494",120,42614,494,"9,276","27,311","297,984",43.44,"1,974",11,6.6,3.7,8.6,20.4
Florida,St. Petersburg,St. Petersburg Police Department,10,2,"244,769","57,489","157,409",567,"7,672",106,7778,539,"4,773","16,214","250,772",65.7,"2,169",19,8.6,7.6,9.1,7.7
California,Stockton,Stockton Police Department,17,4,"291,707","33,507","66,836","1,237","60,323","1,622",61945,470,"10,122","117,590","299,519",37.25,"3,988",49,13.3,16.4,13,26.5
Florida,Tampa,Tampa Police Department,7,2,"335,709","83,032","155,552",755,"11,362",207,11569,794,"6,535","77,472","357,124",58.69,"2,080",28,5.8,7.8,4.6,5.4
Ohio,Toledo,Toledo Police Department,4,2,"287,208","76,820","176,468",755,"3,204",64,3268,522,"8,144","21,231","281,150",53.45,"3,068",24,10.9,8.5,3.1,5.8
Arizona,Tucson,Tucson Police Department,19,2,"520,116","23,362","245,323","8,776","14,211",951,15162,792,"10,393","216,308","525,486",25.65,"3,368",47,6.4,8.9,8.1,19
Oklahoma,Tulsa,Tulsa Police Department,18,4,"391,906","61,230","227,021","19,473","8,926",278,9204,473,"19,239","55,266","399,556",49.79,"3,217",46,8.1,11.5,10.2,14.5
Virginia,Virginia Beach,Virginia Beach Police Department,3,2,"437,994","83,210","282,470","1,349","26,312",602,26914,863,"14,201","28,987","451,102",36.36,660,17,1.5,3.8,1.5,5.3
District of Columbia,Washington,DC Metropolitan Police Department,16,14,"601,723","301,053","209,464","1,322","20,818",216,21034,"1,451","12,650","54,749","658,893",72.18,"7,810",105,11.9,15.9,5.9,10.3
Kansas,Wichita,Wichita Police Department,8,1,"382,368","42,676","246,744","3,424","18,272",311,18583,472,"12,121","58,348","386,486",49.27,"3,065",15,7.9,3.9,4.6,5.2
North Carolina,Winston-Salem,Winston-Salem Police Department,3,2,"229,617","78,065","108,222",567,"4,536",138,4674,535,"3,801","33,753","238,082",50.44,"1,696",13,7.1,5.5,2.9,5.7
United States,Big Cities Average,Big Cities Average,1421,562,"61,294,011","12,640,609","24,001,646",,,,,,,,"63,509,834",,"453,051","5,731",7.1,9,5.2,9.9
United States,Nationwide Average,Nationwide Average,5289,1437,318900000,42094800,,,,,,,,,318900000,,,,3.7,4.5,3.7,7.6
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Violent Crime Data from https://www.fbi.gov/about-us/cjis/ucr/crime-in-the-u.s/2014/crime-in-the-u.s.-2014/tables/table-8/Table_8_Offenses_Known_to_Law_Enforcement_by_State_by_City_2014.xls/view,,,
,,,,,,,,,,,,,,,,,,,,,,
,Data from 1/1/13 - 6/30/17,,,,,,,,,,,,,,,,,,,,,
