state,city,police_department,police_killings_2013,police_killings_2014,police_killings_2015,police_killings_2016,black_people_killed_by_police_2016,total_killings_2013-16,black_people_killed_by_police_2013-2016,unarmed_killings,percent_unarmed,police_killings_2013_rate,police_killings_2014_rate,police_killings_2015_rate,police_killings_2016_rate,avg_rate,total,black,white,amer_indian,asian,hawaiian,asian/pacific_islander,other,two_or_more_races,hispanic,population,violent_crime,murder_and_nonnegligent_manslaughter,violent_crime_rate,murder_rate,total_police_homicide_rate_average_annual_rate,total_police_homicide_rate_for_black_people_average_annual_rate,black-white_dissimilarity_2010,percent_of_killings_black_2016,number_of_restrictive_use_of_force_policies_as_of_2016
North Carolina,Raleigh,Raleigh Police Department,1,0,1,2,2,4,3,0,0%,2.48,0.00,2.48,4.95,2.48,"403,892","115,976","215,204","1,019","17,309",139,17448,828,"7,549","45,868","428,993","1,683",12,3.9,2.8,2.5,6.5,50.26,100,4
California,Riverside,Riverside Police Department,5,1,0,0,0,6,2,0,0%,16.45,3.29,0.00,0.00,4.94,"303,871","19,917","103,398","1,297","21,934","1,019",22953,617,"6,736","148,953","319,453","1,384",12,4.3,3.8,4.9,25.1,25.41,#DIV/0!,3
California,Sacramento,Sacramento Police Department,2,3,1,3,2,9,2,1,11%,4.29,6.43,2.14,6.43,4.82,"466,488","64,967","161,062","2,586","83,841","6,392",90233,"1,253","21,111","125,276","482,767","2,968",28,6.1,5.8,4.8,7.7,40.57,66.66666667,
Texas,San Antonio,San Antonio Police Department,7,8,5,9,2,29,7,7,24%,5.27,6.03,3.77,6.78,5.46,"1,327,407","83,365","353,106","2,771","30,596","1,097",31693,"2,105","15,415","838,952","1,428,465","7,704",103,5.4,7.2,5.5,21.0,43.08,22.22222222,3
California,San Diego,San Diego Police Department,6,4,8,3,0,21,1,5,24%,4.59,3.06,6.12,2.29,4.02,"1,307,402","82,497","589,702","3,545","204,347","5,178",209525,"3,293","42,820","376,020","1,368,690","5,214",32,3.8,2.3,4.0,3.0,54.57,0,2
California,San Francisco,San Francisco Police Department,1,3,8,3,1,15,3,4,27%,1.24,3.73,9.93,3.73,4.66,"805,235","46,781","337,451","1,828","265,700","3,128",268828,"2,494","26,079","121,774","850,294","6,761",45,8.0,5.3,4.7,16.0,52.76,33.33333333,3
California,San Jose,San Jose Police Department,3,1,6,2,0,12,1,2,17%,3.17,1.06,6.34,2.11,3.17,"945,942","27,508","271,382","2,255","300,022","3,492",303514,"1,820","25,827","313,636","1,009,679","3,242",32,3.2,3.2,3.2,9.1,36.76,0,2
California,Santa Ana,Santa Ana Police Department,6,0,2,4,1,12,1,2,17%,18.49,0.00,6.16,12.33,9.24,"324,528","3,177","29,950",507,"33,618",826,34444,375,"2,147","253,928","336,462","1,260",18,3.7,5.3,9.2,78.7,24.48,25,2
Washington,Seattle,Seattle Police Department,5,6,3,2,1,16,2,2,13%,8.21,9.86,4.93,3.29,6.57,"608,660","47,113","403,578","3,881","83,537","2,246",85783,"1,464","26,512","40,329","663,410","4,001",26,6.0,3.9,6.6,10.6,51.68,50,5
Missouri,St. Louis,St. Louis Metropolitan Police Department,7,5,4,5,5,21,19,2,10%,21.92,15.66,12.53,15.66,16.44,"319,294","156,389","134,702",684,"9,233",62,9295,478,"6,616","11,130","318,574","5,348",159,16.8,49.9,16.4,30.4,65.28,100,4
Florida,Tampa,Tampa Police Department,0,2,2,3,1,7,2,3,43%,0.00,5.96,5.96,8.94,5.21,"335,709","83,032","155,552",755,"11,362",207,11569,794,"6,535","77,472","357,124","2,080",28,5.8,7.8,5.2,6.0,58.69,33.33333333,1
Arizona,Tucson,Tucson Police Department,5,5,3,5,1,18,2,1,6%,9.61,9.61,5.77,9.61,8.65,"520,116","23,362","245,323","8,776","14,211",951,15162,792,"10,393","216,308","525,486","3,368",47,6.4,8.9,8.7,21.4,25.65,20,3
