summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
4,43-4041,"Credit Authorizers, Checkers, and Clerks",240,240,0,0,0,0,0,46190,45660,28830,54860,High school diploma or equivalent,None,Short-term on-the-job training
4,43-4051,Customer Service Representatives,12610,12800,190,0.015067407,430,100,330,39010,35870,23380,46830,High school diploma or equivalent,None,Short-term on-the-job training
4,43-4061,"Eligibility Interviewers, Government Programs",1060,1070,10,0.009433962,20,0,20,54860,56720,38700,62940,High school diploma or equivalent,None,Moderate-term on-the-job training
4,43-4071,File Clerks,1270,1280,10,0.007874016,30,0,30,26860,23790,17500,31550,High school diploma or equivalent,None,Short-term on-the-job training
4,43-4081,"Hotel, Motel, and Resort Desk Clerks",850,890,40,0.047058824,60,20,40,26490,23260,17490,30980,High school diploma or equivalent,None,Short-term on-the-job training
4,43-4111,"Interviewers, Except Eligibility and Loan",1270,1270,0,0,20,0,20,37080,36370,27210,42020,High school diploma or equivalent,None,Short-term on-the-job training
4,43-4121,"Library Assistants, Clerical",1470,1500,30,0.020408163,80,10,70,28420,27190,18710,33270,High school diploma or equivalent,None,Short-term on-the-job training
4,43-4131,Loan Interviewers and Clerks,460,460,0,0,0,0,0,35460,34610,23780,41300,High school diploma or equivalent,None,Short-term on-the-job training
4,43-4141,New Accounts Clerks,130,130,0,0,0,0,0,33530,31850,28010,36290,High school diploma or equivalent,None,Moderate-term on-the-job training
4,43-4151,Order Clerks,800,800,0,0,20,0,20,33940,32140,22970,39430,High school diploma or equivalent,None,Short-term on-the-job training
4,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",820,820,0,0,20,0,20,41130,40750,26870,48270,High school diploma or equivalent,None,Short-term on-the-job training
4,43-4171,Receptionists and Information Clerks,9790,10000,210,0.02145046,390,110,280,30870,29820,22030,35290,High school diploma or equivalent,None,Short-term on-the-job training
4,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,270,260,-10,-0.037037037,0,0,0,30120,26500,20950,34710,High school diploma or equivalent,None,Short-term on-the-job training
4,43-4199,"Information and Record Clerks, All Other",680,670,-10,-0.014705882,10,0,10,43010,43890,31940,48550,High school diploma or equivalent,None,Short-term on-the-job training
3,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",29170,29140,-30,-0.001028454,960,130,830,n/a,n/a,n/a,n/a, , , 
4,43-5011,Cargo and Freight Agents,270,280,10,0.037037037,20,10,10,55640,62720,35280,65820,High school diploma or equivalent,None,Short-term on-the-job training
4,43-5021,Couriers and Messengers,640,630,-10,-0.015625,10,0,10,35460,34290,25580,40400,High school diploma or equivalent,None,Short-term on-the-job training
4,43-5031,"Police, Fire, and Ambulance Dispatchers",680,680,0,0,20,0,20,46450,45280,32690,53330,High school diploma or equivalent,None,Moderate-term on-the-job training
4,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",1490,1520,30,0.020134228,60,20,40,40870,37190,23390,49610,High school diploma or equivalent,None,Moderate-term on-the-job training
4,43-5041,"Meter Readers, Utilities",220,210,-10,-0.045454545,10,0,10,62070,65690,43330,71430,High school diploma or equivalent,None,Short-term on-the-job training
4,43-5051,Postal Service Clerks,740,690,-50,-0.067567568,10,0,10,52420,53820,48210,54520,High school diploma or equivalent,None,Short-term on-the-job training
4,43-5052,Postal Service Mail Carriers,2260,2120,-140,-0.061946903,80,0,80,53340,56970,45740,57140,High school diploma or equivalent,None,Short-term on-the-job training
4,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",1030,960,-70,-0.067961165,10,0,10,50310,53810,42800,54070,High school diploma or equivalent,None,Short-term on-the-job training
4,43-5061,"Production, Planning, and Expediting Clerks",1410,1430,20,0.014184397,40,10,30,49930,46620,32950,58420,High school diploma or equivalent,None,Moderate-term on-the-job training
4,43-5071,"Shipping, Receiving, and Traffic Clerks",4970,4960,-10,-0.002012072,130,0,130,30620,27930,19480,36190,High school diploma or equivalent,None,Short-term on-the-job training
4,43-5081,Stock Clerks and Order Fillers,15320,15510,190,0.012402089,580,90,490,24670,21990,17090,28450,Less than high school,None,Short-term on-the-job training
4,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",150,150,0,0,0,0,0,34750,34270,22990,40630,High school diploma or equivalent,None,Short-term on-the-job training
3,43-6000,Secretaries and Administrative Assistants,32320,32990,670,0.020730198,720,340,380,n/a,n/a,n/a,n/a, , , 
4,43-6011,Executive Secretaries and Executive Administrative Assistants,6090,6080,-10,-0.001642036,70,0,70,65080,66160,48280,73480,High school diploma or equivalent,Less than 5 years,None
4,43-6012,Legal Secretaries,1460,1480,20,0.01369863,30,10,20,47780,46120,40920,51200,High school diploma or equivalent,None,Moderate-term on-the-job training
4,43-6013,Medical Secretaries,1900,2020,120,0.063157895,80,60,20,39270,39500,27920,44950,High school diploma or equivalent,None,Moderate-term on-the-job training
4,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",22870,23420,550,0.024048972,540,270,270,37600,37360,25560,43630,High school diploma or equivalent,None,Short-term on-the-job training
3,43-9000,Other Office and Administrative Support Workers,27620,27550,-70,-0.002534395,630,100,530,n/a,n/a,n/a,n/a, , , 
4,43-9011,Computer Operators,550,530,-20,-0.036363636,10,0,10,38050,37900,25470,44350,High school diploma or equivalent,None,Moderate-term on-the-job training
4,43-9021,Data Entry Keyers,1550,1470,-80,-0.051612903,20,0,20,31290,28410,21240,36310,High school diploma or equivalent,None,Moderate-term on-the-job training
4,43-9022,Word Processors and Typists,2440,2300,-140,-0.057377049,10,0,10,40500,39280,30140,45680,High school diploma or equivalent,None,Short-term on-the-job training
4,43-9031,Desktop Publishers,130,120,-10,-0.076923077,0,0,0,42320,40100,28850,49060,Associate's degree,None,Short-term on-the-job training
4,43-9041,Insurance Claims and Policy Processing Clerks,1100,1100,0,0,30,0,30,40360,40680,29500,45790,High school diploma or equivalent,None,Moderate-term on-the-job training
4,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",410,410,0,0,10,0,10,32730,32730,23850,37170,High school diploma or equivalent,None,Short-term on-the-job training
4,43-9061,"Office Clerks, General",19210,19400,190,0.009890682,500,100,400,30590,28700,18390,36700,High school diploma or equivalent,None,Short-term on-the-job training
4,43-9071,"Office Machine Operators, Except Computer",500,490,-10,-0.02,10,0,10,34390,30590,20740,41210,High school diploma or equivalent,None,Short-term on-the-job training
4,43-9081,Proofreaders and Copy Markers,120,120,0,0,0,0,0,36740,34650,23500,43350,Bachelor's degree,None,None
4,43-9199,"Office and Administrative Support Workers, All Other",1570,1560,-10,-0.006369427,40,0,40,36720,36470,27150,41500,High school diploma or equivalent,None,Short-term on-the-job training
2,45-0000,"Farming, Fishing, and Forestry Occupations",3550,3620,70,0.01971831,130,40,90,23020,18680,16770,26150, , , 
3,45-1000,"Supervisors of Farming, Fishing, and Forestry Workers",120,120,0,0,0,0,0,n/a,n/a,n/a,n/a, , , 
4,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",120,120,0,0,0,0,0,56500,56600,52010,58740,High school diploma or equivalent,Less than 5 years,None
3,45-2000,Agricultural Workers,3080,3160,80,0.025974026,120,40,80,n/a,n/a,n/a,n/a, , , 
4,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",360,350,-10,-0.027777778,10,0,10,25020,24770,17460,28790,Less than high school,None,Short-term on-the-job training
3,45-3000,Fishing and Hunting Workers,170,170,0,0,0,0,0,n/a,n/a,n/a,n/a, , , 
3,45-4000,"Forest, Conservation, and Logging Workers",190,180,-10,-0.052631579,0,0,0,n/a,n/a,n/a,n/a, , , 
2,47-0000,Construction and Extraction Occupations,43530,45820,2290,0.052607397,1860,1150,710,59010,54300,32890,72060, , , 
3,47-1000,Supervisors of Construction and Extraction Workers,3720,3900,180,0.048387097,130,90,40,n/a,n/a,n/a,n/a, , , 
4,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,3720,3900,180,0.048387097,130,90,40,80410,77540,52030,94610,High school diploma or equivalent,5 years or more,None
3,47-2000,Construction Trades Workers,33350,35260,1910,0.057271364,1520,960,560,n/a,n/a,n/a,n/a, , , 
4,47-2021,Brickmasons and Blockmasons,550,580,30,0.054545455,30,20,10,66830,58400,42910,78790,High school diploma or equivalent,None,Apprenticeship
4,47-2022,Stonemasons,270,280,10,0.037037037,10,10,0,42040,42380,35680,45220,High school diploma or equivalent,None,Apprenticeship
4,47-2031,Carpenters,8420,8840,420,0.049881235,320,210,110,60370,53540,33490,73810,High school diploma or equivalent,None,Apprenticeship
4,47-2041,Carpet Installers,330,340,10,0.03030303,20,10,10,39110,38550,26260,45540,Less than high school,None,Short-term on-the-job training
4,47-2044,Tile and Marble Setters,310,320,10,0.032258065,20,10,10,49420,48710,34810,56720,Less than high school,None,Long-term on-the-job training
4,47-2051,Cement Masons and Concrete Finishers,520,560,40,0.076923077,30,20,10,49430,42090,32830,57720,Less than high school,None,Moderate-term on-the-job training
4,47-2061,Construction Laborers,8330,8920,590,0.070828331,470,290,180,51150,44960,29510,61980,Less than high school,None,Short-term on-the-job training
4,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",320,340,20,0.0625,20,10,10,54810,55760,34500,64960,High school diploma or equivalent,None,Moderate-term on-the-job training
4,47-2073,Operating Engineers and Other Construction Equipment Operators,1950,2080,130,0.066666667,100,60,40,65050,58610,42310,76410,High school diploma or equivalent,None,Moderate-term on-the-job training
4,47-2111,Electricians,4050,4270,220,0.054320988,180,110,70,73720,72780,44510,88320,High school diploma or equivalent,None,Apprenticeship
4,47-2141,"Painters, Construction and Maintenance",2490,2600,110,0.044176707,90,50,40,39210,37530,25560,46030,Less than high school,None,Moderate-term on-the-job training
4,47-2151,Pipelayers,200,210,10,0.05,10,10,0,n/a,n/a,n/a,n/a,Less than high school,None,Short-term on-the-job training
